,product_id,product_name,img_link,product_link,avg_rating,discounted_price
592,B07R99NBVB,"Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap",https://m.media-amazon.com/images/I/51llGK9TR+L._SY300_SX300_.jpg,https://www.amazon.in/Essentials-Reusable-Double-Organizer-Length/dp/B07R99NBVB/ref=sr_1_444?qid=1672903017&s=computers&sr=1-444,4.5,₹249
600,B0B3G5XZN5,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine for Kitchen with 4000 mAh Rechargeable Battery, 230 Watt Motor, 500 ML",https://m.media-amazon.com/images/I/31ZbGgybh0L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/InstaCuppa-Portable-Smoothie-Crushing-Rechargeable/dp/B0B3G5XZN5/ref=sr_1_148?qid=1672923598&s=kitchen&sr=1-148,4.5,"₹2,799"
608,B0B694PXQJ,"Gadgetronics Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cooking (10 KGs,1 Year Warranty & Batteries Included)",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/61Vt5Egqf4L._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Gadgetronics-Weighing-Warranty-Batteries-Included/dp/B0B694PXQJ/ref=sr_1_286?qid=1672923606&s=kitchen&sr=1-286,4.5,₹799
616,B0765B3TH7,"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black",https://m.media-amazon.com/images/I/31KpmfiYmeL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/GIZGA-inch-Hard-Drive-Black/dp/B0765B3TH7/ref=sr_1_74?qid=1672902998&s=computers&sr=1-74,4.5,₹199
624,B088ZFJY82,"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Moonlight Silver)",https://m.media-amazon.com/images/I/41pmcRIe45L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Aluminium-Adjustable-Mobile-Foldable-Smartphones/dp/B088ZFJY82/ref=sr_1_493?qid=1672895894&s=electronics&sr=1-493,4.5,₹314
632,B08QW937WV,Homeistic Applience™ Instant Electric Water Heater Faucet Tap For Kitchen And Bathroom Sink Digital Water Heating Tap with Shower Head ABS Body- Shock Proof (Pack Of 1. White),https://m.media-amazon.com/images/I/31dCji7nmsL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Homeistic-Applience-Electric-bathroom-Tankless/dp/B08QW937WV/ref=sr_1_173?qid=1672923598&s=kitchen&sr=1-173,4.5,"₹1,448"
640,B0BNDD9TN6,WANBO X1 Pro (Upgraded) | Native 1080P Full HD | Android 9 | Projector for Home | LED Cinema | 350ANSI | 3900 lumens | WiFi Bluetooth | HDMI ARC | Dolby DTS | 4D Keystone Correction (Global Version),https://m.media-amazon.com/images/I/41hCikFvL7L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/WANBO-X1-Pro-Projector-Correction/dp/B0BNDD9TN6/ref=sr_1_466?qid=1672909147&s=electronics&sr=1-466,4.5,"₹13,990"
648,B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",https://m.media-amazon.com/images/I/31hDWwY8iWL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Aluminum-Adjustable-Mobile-Foldable-Smartphones/dp/B07Q4QV1DL/ref=sr_1_149?qid=1672895791&s=electronics&sr=1-149,4.5,₹269
656,B0B9BD2YL4,"KINGONE Wireless Charging Pencil (2nd Generation) for iPad with Magnetic and Tilt Sensitive, Palm Rejection, Compatible with Apple iPad Pro 11 inch 1/2/3/4, iPad Pro 12.9 Inch 3/4/5/6, iPad Air 4/5, mini6",https://m.media-amazon.com/images/I/217Lv1D3bHL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Wireless-Generation-Sensitive-Rejection-Compatible/dp/B0B9BD2YL4/ref=sr_1_500?qid=1672895894&s=electronics&sr=1-500,4.5,"₹2,599"
672,B01HJI0FS2,"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.",https://m.media-amazon.com/images/I/31z5b7RYc2L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_31?qid=1672902996&s=computers&sr=1-31,4.5,₹299
